-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.783, 80.157, 0.505,  0.346
-183.772, 80.138, 0.567,  0.379
-183.758, 80.117, 0.661,  0.412
-183.740, 80.091, 0.815,  0.445
-183.719, 80.062, 0.958,  0.478
-183.693, 80.027, 1.122,  0.511
-183.664, 79.987, 1.299,  0.544
-183.632, 79.942, 1.483,  0.577
-183.597, 79.891, 1.672,  0.610
-183.560, 79.836, 1.864,  0.643
-183.519, 79.775, 2.053,  0.676
-183.476, 79.709, 2.234,  0.709
-183.431, 79.638, 2.400,  0.742
-183.384, 79.564, 2.546,  0.775
-183.336, 79.486, 2.667,  0.808
-183.286, 79.406, 2.759,  0.841
-183.236, 79.325, 2.824,  0.874
-183.186, 79.242, 2.861,  0.907
-183.135, 79.160, 2.874,  0.940
-183.085, 79.078, 2.869,  0.973
-183.034, 78.996, 2.849,  1.006
-182.985, 78.916, 2.819,  1.039
-182.936, 78.837, 2.784,  1.072
-182.887, 78.759, 2.746,  1.105
-182.839, 78.682, 2.709,  1.138
-182.792, 78.607, 2.675,  1.171
-182.745, 78.532, 2.644,  1.204
-182.699, 78.458, 2.619,  1.237
-182.653, 78.384, 2.599,  1.270
-182.607, 78.311, 2.584,  1.303
-182.562, 78.238, 2.574,  1.336
-182.517, 78.164, 2.568,  1.369
-182.473, 78.091, 2.567,  1.402
-182.429, 78.018, 2.568,  1.435
-182.385, 77.944, 2.571,  1.468
-182.342, 77.870, 2.576,  1.501
-182.299, 77.795, 2.581,  1.534
-182.256, 77.720, 2.587,  1.567
-182.215, 77.644, 2.594,  1.600
-182.173, 77.568, 2.600,  1.633
-182.133, 77.491, 2.605,  1.666
-182.093, 77.414, 2.610,  1.699
-182.053, 77.336, 2.615,  1.732
